Date,Merchant,Amount,Fraud
2017-1-1,5a88aafd6514d52c7774b52e,56.56,0
2017-1-1,5a88ac556514d52c7774b531,11.03,0
2017-1-1,5a88b0b86514d52c7774b539,2.71,0
2017-1-1,5a88b1196514d52c7774b53a,16.55,0
2017-1-1,5a88ae836514d52c7774b536,20.65,0
2017-1-1,5a88bb496514d52c7774b547,800.00,0
2017-1-3,5a88aafd6514d52c7774b52e,6.60,0
2017-1-3,5a88b0b86514d52c7774b539,7.38,0
2017-1-3,5a88afc26514d52c7774b538,12.25,0
2017-1-3,5a88ae836514d52c7774b536,22.27,0
2017-1-4,5a88afc26514d52c7774b538,12.25,0
2017-1-5,5a88b3cd6514d52c7774b53e,110.84,0
2017-1-6,5a88ac556514d52c7774b531,10.51,0
2017-1-6,5a88b0b86514d52c7774b539,1.33,0
2017-1-6,5a88bad36514d52c7774b545,10.00,0
2017-1-7,5a88aafd6514d52c7774b52e,1.17,0
2017-1-7,5a88ac556514d52c7774b531,7.67,0
2017-1-8,5a88b1196514d52c7774b53a,12.14,0
2017-1-9,5a88ac556514d52c7774b531,9.91,0
2017-1-9,5a88afc26514d52c7774b538,12.25,0
2017-1-10,5a88aafd6514d52c7774b52e,18.46,0
2017-1-11,5a88abc26514d52c7774b530,36.70,0
2017-1-13,5a88aafd6514d52c7774b52e,43.77,0
2017-1-14,5a88aafd6514d52c7774b52e,39.93,0
2017-1-14,5a88ae836514d52c7774b536,22.25,0
2017-1-15,5a88afc26514d52c7774b538,12.25,0
2017-1-16,5a88b3cd6514d52c7774b53e,121.44,0
2017-1-16,5a88abc26514d52c7774b530,32.69,0
2017-1-19,5a88aafd6514d52c7774b52e,45.05,0
2017-1-19,5a88ac556514d52c7774b531,9.64,0
2017-1-19,5a88b3cd6514d52c7774b53e,14.12,0
2017-1-21,5a88b1196514d52c7774b53a,20.24,0
2017-1-21,5a88abc26514d52c7774b530,37.62,0
2017-1-22,5a88ae836514d52c7774b536,21.83,0
2017-1-22,5a88abc26514d52c7774b530,60.76,0
2017-1-23,5a88aafd6514d52c7774b52e,7.17,0
2017-1-23,5a88ac556514d52c7774b531,8.46,0
2017-1-25,5a88aafd6514d52c7774b52e,20.07,0
2017-1-25,5a88ae836514d52c7774b536,20.42,0
2017-1-28,5a88aafd6514d52c7774b52e,19.65,0
2017-1-29,5a88aafd6514d52c7774b52e,3.30,0
2017-1-30,5a88aafd6514d52c7774b52e,21.58,0
2017-1-30,5a88abc26514d52c7774b530,2.16,0
2017-2-1,5a88aafd6514d52c7774b52e,40.59,0
2017-2-1,5a88b3cd6514d52c7774b53e,25.99,0
2017-2-1,5a88bb496514d52c7774b547,800.00,0
2017-2-2,5a88aafd6514d52c7774b52e,16.58,0
2017-2-2,5a88b0b86514d52c7774b539,5.61,0
2017-2-3,5a88aafd6514d52c7774b52e,33.18,0
2017-2-6,5a88ac556514d52c7774b531,13.94,0
2017-2-6,5a88ae836514d52c7774b536,22.52,0
2017-2-6,5a88bad36514d52c7774b545,10.00,0
